CNPJ;Ano;Trimestre;ValorDespesas
477;2024;2T2024;2145598327.22
477;2024;3T2024;3062074968.1
477;2024;4T2024;3879643423.77
515;2024;2T2024;283257197.42
515;2024;3T2024;294692445.1
515;2024;4T2024;225969807.76999998
582;2024;2T2024;12992341747.92
582;2024;3T2024;19935329473.75
582;2024;4T2024;27209267579.7
701;2024;2T2024;13448418350.78
701;2024;3T2024;20304697010.3
701;2024;4T2024;27263463221.51
884;2024;2T2024;986349240.36
884;2024;3T2024;1446458382.43
884;2024;4T2024;1919112391.18
5711;2024;2T2024;110402577527.48
5711;2024;3T2024;158424020712.12
5711;2024;4T2024;200213203418.46
6246;2024;2T2024;76410907564.42
6246;2024;3T2024;111351249799.99
6246;2024;4T2024;146364018327.7
300136;2024;2T2024;327882622.19
300136;2024;3T2024;519419237.95
300136;2024;4T2024;669459547.62
300195;2024;4T2024;2743712.54
300713;2024;2T2024;347675295.71
300713;2024;3T2024;534327230.19
300713;2024;4T2024;692976818.62
300730;2024;2T2024;8524019.65
300730;2024;3T2024;12919519.459999999
300730;2024;4T2024;17315836.28
301060;2024;2T2024;181232369.81
301060;2024;3T2024;277896649.58
301060;2024;4T2024;350154317.83
301124;2024;2T2024;137145921.46
301124;2024;3T2024;191535720.01
301124;2024;4T2024;234791736.53
301574;2024;2T2024;584421933.85
301574;2024;3T2024;884093807.0500001
301574;2024;4T2024;1175825708.05
301647;2024;4T2024;2431551.89
301728;2024;2T2024;185732738.62
301728;2024;3T2024;264297768.58
301728;2024;4T2024;346805695.90999997
301744;2024;2T2024;219762895.35
301744;2024;3T2024;330874667.34
301744;2024;4T2024;434188639.37
301949;2024;2T2024;2088351166.24
301949;2024;3T2024;2983735309.19
301949;2024;4T2024;3947271467.62
302147;2024;2T2024;14761131673.82
302147;2024;3T2024;22484583396.37
302147;2024;4T2024;29871716588.11
302228;2024;2T2024;65740805.96
302228;2024;3T2024;98696246.58
302228;2024;4T2024;131861381.61
302627;2024;2T2024;95325830.12
302627;2024;3T2024;139117365.8
302627;2024;4T2024;198900264.17000002
302953;2024;2T2024;1144140472.11
302953;2024;3T2024;1684284131.72
302953;2024;4T2024;2256740863.54
303178;2024;2T2024;183700117.58
303178;2024;3T2024;278532385.77
303178;2024;4T2024;368264868.04
303259;2024;4T2024;10219970.67
303267;2024;2T2024;1045338083.84
303267;2024;3T2024;1582160972.24
303267;2024;4T2024;2134252809.12
303291;2024;4T2024;2336775.38
303356;2024;2T2024;1414190307.3
303356;2024;3T2024;2233709663.6
303356;2024;4T2024;3050993946.77
303623;2024;2T2024;1731217486.77
303623;2024;3T2024;2616428842.09
303623;2024;4T2024;3498671626.3
303739;2024;2T2024;505673315.48
303739;2024;3T2024;763893281.24
303739;2024;4T2024;1011191651.95
303844;2024;2T2024;133599185.93
303844;2024;3T2024;196925127.87
303844;2024;4T2024;264682583.32
303976;2024;2T2024;4485944659.32
303976;2024;3T2024;6529826565.04
303976;2024;4T2024;8836522905.14
304051;2024;2T2024;736824964.23
304051;2024;3T2024;927012904.5600001
304051;2024;4T2024;1170576497.36
304123;2024;2T2024;131483284.2
304123;2024;3T2024;203401721.48
304123;2024;4T2024;291763900.32
304131;2024;2T2024;271073018.33
304131;2024;3T2024;419374671.53
304131;2024;4T2024;558797672.27
304212;2024;2T2024;2400807.64
304212;2024;3T2024;4933273.65
304344;2024;2T2024;254292223.4
304344;2024;3T2024;365785608.85
304344;2024;4T2024;494098937.84999996
304395;2024;2T2024;269633599.27
304395;2024;3T2024;422185778.71
304395;2024;4T2024;555554918.03
304441;2024;2T2024;47678411.9
304441;2024;3T2024;71550463.92999999
304441;2024;4T2024;95050369.44
304468;2024;2T2024;332641448.86
304468;2024;3T2024;488548828.3
304468;2024;4T2024;655094616.97
304484;2024;2T2024;139575427.35
304484;2024;3T2024;238046789.03
304484;2024;4T2024;321683114.44
304531;2024;2T2024;27364104.53
304531;2024;3T2024;39786603.89
304531;2024;4T2024;50353318.65
304701;2024;2T2024;8797151781.060001
304701;2024;3T2024;13229132535.67
304701;2024;4T2024;17576074513.66
304883;2024;2T2024;615576084.63
304883;2024;3T2024;936454231.73
304883;2024;4T2024;1229576769.39
305227;2024;2T2024;275529579.81
305227;2024;3T2024;410473823.03
305227;2024;4T2024;540059344.6
305421;2024;2T2024;14026926.57
305421;2024;3T2024;17809261.27
305421;2024;4T2024;18267081.88
305472;2024;2T2024;261147046.11
305472;2024;3T2024;379065886.36
305472;2024;4T2024;496802936.83
305626;2024;2T2024;125684531.58
305626;2024;3T2024;161654194.82999998
305626;2024;4T2024;192154679.5
305740;2024;4T2024;3334707.38
305928;2024;2T2024;17671424.78
305928;2024;3T2024;27122723.919999998
305928;2024;4T2024;34278754.84
306045;2024;2T2024;21529111.82
306045;2024;3T2024;34378487.76
306045;2024;4T2024;44359201.48
306100;2024;2T2024;418433909.62
306100;2024;3T2024;629655930.61
306100;2024;4T2024;831508571.8199999
306126;2024;2T2024;470561760.04
306126;2024;3T2024;706714376.41
306126;2024;4T2024;941365145.76
306398;2024;2T2024;1477472205.17
306398;2024;3T2024;2208513698.05
306398;2024;4T2024;2996606885.75
306754;2024;2T2024;114263451.78
306754;2024;3T2024;168039283.76999998
306754;2024;4T2024;221419791.43
306762;2024;2T2024;467249923.98
306762;2024;3T2024;715675803.99
306762;2024;4T2024;950367059.15
306886;2024;2T2024;1486537925.48
306886;2024;3T2024;2270026970.31
306886;2024;4T2024;3009928261.8
307319;2024;2T2024;694467221.02
